"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23943","Agent analytics - Engagement: cycle Day/Week/Month/Quarter for every metric","chromium","2026-09-23","passed","2026-09-23","","","",""
"","13774","Cancel the Add dialog","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
"","13014","Dismiss the cancel confirmation","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Negative","","",""
"","21607","Agent analytics - select every date range preset from the sidebar","chromium","2026-09-23","passed","2026-09-23","","","",""
"","37550","Test 3 - Create Data Validator, add it to Instructions and verify through Test Agent","chromium","2026-09-23","passed","2026-09-23","","","",""
"","9485","Test_7: edits the KB name and description from inside the folder","chromium","2026-09-23","passed","2026-09-23","","","",""
"","18580","Edit the first eligible inbound: pause/reuse fallback, rename, commit draft version, update schedule","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","26698","Test_1: uploads a single file via setInputFiles and creates the KB","chromium","2026-09-23","passed","2026-09-23","","","",""
"","17883","Move selected phone numbers to any existing group","chromium","2026-09-23","passed","2026-09-23","","","",""
"","50944","Phone - agent test flow of Phone call","chromium","2026-09-23","passed","2026-09-23","","","",""
"","16911","Create variable, add it in Instructions and verify after refresh","chromium","2026-09-23","passed","2026-09-23","Agent Variables and Instructions","","",""
"","20622","Refuse a number that another inbound already answers on","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","101339","Resume a campaign after archiving its phone numbers while paused","chromium","2026-09-23","passed","2026-09-23","Bug Replicator","","",""
"","21168","Create an inbound deployment bound to a phone-number group","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","10337","Test_8: downloads a file from inside the KB folder","chromium","2026-09-23","passed","2026-09-23","","","",""
"","14657","Delete every number","chromium","2026-09-23","passed","2026-09-23","DND list > Positive","","",""
"","23227","Add a known-callers list: upload, map, verify it completes","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","24237","Status filter on the Past tab","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive","","",""
"","12546","Known callers: reject an invalid list name, then upload a valid list","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","13379","Cancel a campaign","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive","","",""
"","65550","Chat - agent test flow with analytics verification","chromium","2026-09-23","passed","2026-09-23","","","",""
"","10920","Cancel deletion of an empty group","chromium","2026-09-23","passed","2026-09-23","","","",""
"","92691","Resume a campaign","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive > Pause, resume and cancel one campaign","","",""
"","15354","Cancel the remove confirmation","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
"","13825","Create group and assign available phone numbers","chromium","2026-09-23","passed","2026-09-23","","","",""
"","100724","Voice - agent test flow with analytics verification","chromium","2026-09-23","passed","2026-09-23","","","",""
"","27703","Test_2: uploads multiple files via setInputFiles and creates the KB","chromium","2026-09-23","passed","2026-09-23","","","",""
"","19384","Status filter on the Active tab","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive","","",""
"","10354","Search inbound deployments by name and verify filter accuracy","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","14955","Reject a duplicate number","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
"","13489","Bulk delete from a CSV","chromium","2026-09-23","passed","2026-09-23","DND list > Positive","","",""
"","15165","Agent analytics - select last 15 days via the calendar","chromium","2026-09-23","passed","2026-09-23","","","",""
"","19971","Reject malformed values in the CSV","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
